data_year,total_bills,state_populated_pct,state_null_pct,bill_number_populated_pct,bill_number_null_pct,bill_type_populated_pct,bill_type_null_pct,description_populated_pct,description_null_pct,internal_summary_populated_pct,internal_summary_null_pct,notes_populated_pct,notes_null_pct,history_populated_pct,history_null_pct,website_blurb_populated_pct,website_blurb_null_pct,introduced_date_populated_pct,introduced_date_null_pct,last_action_date_populated_pct,last_action_date_null_pct,effective_date_populated_pct,effective_date_null_pct,enacted_date_populated_pct,enacted_date_null_pct,vetoed_date_populated_pct,vetoed_date_null_pct,date_last_updated_populated_pct,date_last_updated_null_pct,introduced_populated_pct,introduced_null_pct,enacted_populated_pct,enacted_null_pct,vetoed_populated_pct,vetoed_null_pct,dead_populated_pct,dead_null_pct,pending_populated_pct,pending_null_pct,abortion_populated_pct,abortion_null_pct,contraception_populated_pct,contraception_null_pct,minors_populated_pct,minors_null_pct,sex_education_populated_pct,sex_education_null_pct,insurance_populated_pct,insurance_null_pct,pregnancy_populated_pct,pregnancy_null_pct,positive_populated_pct,positive_null_pct,neutral_populated_pct,neutral_null_pct,restrictive_populated_pct,restrictive_null_pct,topic_1_populated_pct,topic_1_null_pct,topic_2_populated_pct,topic_2_null_pct,topic_3_populated_pct,topic_3_null_pct,legislation_populated_pct,legislation_null_pct,resolution_populated_pct,resolution_null_pct,constitutional_amendment_populated_pct,constitutional_amendment_null_pct,ballot_initiative_populated_pct,ballot_initiative_null_pct,court_case_populated_pct,court_case_null_pct,period_2005_populated_pct,period_2005_null_pct,period_2006_2007_populated_pct,period_2006_2007_null_pct,period_2008_2014_populated_pct,period_2008_2014_null_pct
2002,177,100.0,0.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,9.03954802259887,90.96045197740112,100.0,0.0,0.0,100.0,0.0,100.0,99.43502824858757,0.5649717514124294,0.0,100.0,0.0,100.0,0.0,100.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,22.598870056497177,77.40112994350282,4.519774011299435,95.48022598870057,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,100.0
2003,110,100.0,0.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,11.818181818181818,88.18181818181819,100.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,9.090909090909092,90.9090909090909,0.0,100.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,100.0
2004,107,100.0,0.0,100.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,7.476635514018691,92.5233644859813,100.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,15.887850467289718,84.11214953271028,2.803738317757009,97.19626168224299,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,100.0
2005,182,100.0,0.0,99.45054945054946,0.5494505494505495,0.0,100.0,99.45054945054946,0.5494505494505495,0.0,100.0,7.6923076923076925,92.3076923076923,99.45054945054946,0.5494505494505495,0.0,100.0,0.0,100.0,99.45054945054946,0.5494505494505495,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,18.13186813186813,81.86813186813187,4.395604395604396,95.6043956043956,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,100.0
2006,1099,100.0,0.0,99.90900818926298,0.09099181073703368,99.90900818926298,0.09099181073703368,80.80072793448589,19.1992720655141,14.103730664240219,85.89626933575978,44.5859872611465,55.4140127388535,79.70882620564149,20.291173794358507,0.0,100.0,0.0,100.0,0.0,100.0,15.832575068243859,84.16742493175614,0.0,100.0,0.0,100.0,85.53230209281165,14.467697907188354,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,99.90900818926298,0.09099181073703368,14.376706096451318,85.62329390354869,4.9135577797998184,95.08644222020018,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,100.0
2007,1127,100.0,0.0,100.0,0.0,100.0,0.0,99.37888198757764,0.6211180124223602,18.278615794143743,81.72138420585625,45.16415261756877,54.83584738243123,99.37888198757764,0.6211180124223602,0.0,100.0,0.0,100.0,0.0,100.0,16.94764862466726,83.05235137533275,0.0,100.0,0.0,100.0,99.91126885536823,0.08873114463176575,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,16.3265306122449,83.6734693877551,4.17036379769299,95.82963620230701,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,100.0
2008,1010,100.0,0.0,100.0,0.0,100.0,0.0,99.9009900990099,0.09900990099009901,16.03960396039604,83.96039603960396,54.95049504950495,45.04950495049505,100.0,0.0,0.0,100.0,0.0,100.0,0.0,100.0,12.07920792079208,87.92079207920793,0.0,100.0,0.0,100.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,18.019801980198018,81.98019801980197,4.9504950495049505,95.04950495049505,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,100.0
2009,883,100.0,0.0,100.0,0.0,100.0,0.0,98.86749716874293,1.1325028312570782,15.628539071347678,84.37146092865233,59.11664779161948,40.88335220838052,100.0,0.0,0.0,100.0,0.0,100.0,100.0,0.0,15.175537938844846,84.82446206115515,0.0,100.0,0.0,100.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,18.23329558323896,81.76670441676104,8.380520951302378,91.61947904869761,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,100.0
2010,875,100.0,0.0,100.0,0.0,100.0,0.0,69.37142857142857,30.628571428571426,8.571428571428571,91.42857142857143,65.94285714285715,34.05714285714286,100.0,0.0,0.0,100.0,0.0,100.0,99.88571428571429,0.1142857142857143,13.257142857142856,86.74285714285715,0.0,100.0,0.0,100.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,17.599999999999998,82.39999999999999,8.0,92.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,100.0
2011,963,100.0,0.0,100.0,0.0,100.0,0.0,91.06957424714433,8.93042575285566,11.007268951194185,88.99273104880582,69.1588785046729,30.8411214953271,99.89615784008308,0.10384215991692627,0.0,100.0,0.0,100.0,99.89615784008308,0.10384215991692627,15.991692627206646,84.00830737279335,0.0,100.0,0.0,100.0,99.89615784008308,0.10384215991692627,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,22.429906542056074,77.57009345794393,11.214953271028037,88.78504672897196,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,100.0,0.0,0.0,100.0,0.0,100.0,0.0,100.0
