analysis_period,total_records,state_pct,bill_number_pct,bill_type_pct,description_pct,internal_summary_pct,introduced_date_pct,last_action_date_pct,effective_date_pct,enacted_date_pct,introduced_pct,enacted_pct,vetoed_pct,dead_pct,pending_pct,passed_first_chamber_pct,passed_second_chamber_pct,seriously_considered_pct,abortion_pct,contraception_pct,minors_pct,sex_education_pct,insurance_pct,positive_pct,neutral_pct,restrictive_pct,emergency_contraception_pct,pregnancy_pct,stis_pct,appropriations_pct,incarceration_pct,period_products_pct,fetal_issues_pct,fetal_tissue_pct,refusal_pct
2002,177,100.0,100.0,0.0,100.0,0.0,0.0,99.43502824858757,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2003,110,100.0,100.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2004,107,100.0,100.0,0.0,100.0,0.0,0.0,100.0,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2005,182,100.0,99.45054945054946,0.0,99.45054945054946,0.0,0.0,99.45054945054946,0.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2006,1099,100.0,99.90900818926298,99.90900818926298,80.80072793448589,14.103730664240219,0.0,0.0,15.832575068243859,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2007,1127,100.0,100.0,100.0,99.37888198757764,18.278615794143743,0.0,0.0,16.94764862466726,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2008,1010,100.0,100.0,100.0,99.9009900990099,16.03960396039604,0.0,0.0,12.07920792079208,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2009,883,100.0,100.0,100.0,98.86749716874293,15.628539071347678,0.0,100.0,15.175537938844846,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2010,875,100.0,100.0,100.0,69.37142857142857,8.571428571428571,0.0,99.88571428571429,13.257142857142856,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2011,963,100.0,100.0,100.0,91.06957424714433,11.007268951194185,0.0,99.89615784008308,15.991692627206646,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2012,866,100.0,100.0,100.0,84.18013856812932,9.122401847575059,0.0,100.0,13.74133949191686,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2013,801,100.0,99.87515605493134,100.0,85.0187265917603,9.113607990012484,0.0,99.25093632958801,14.357053682896378,0.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2016,1039,100.0,98.84504331087585,98.7487969201155,93.26275264677575,0.0,100.0,98.65255052935515,12.800769971126083,12.60827718960539,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
2017,1152,100.0,98.78472222222221,98.69791666666666,94.87847222222221,0.0,95.57291666666666,98.52430555555556,13.975694444444445,14.67013888888889,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
