data_year,total_bills,introduced_true,introduced_false,introduced_null,enacted_true,enacted_false,enacted_null,vetoed_true,vetoed_false,vetoed_null,dead_true,dead_false,dead_null,pending_true,pending_false,pending_null,passed_first_chamber_true,passed_first_chamber_false,passed_first_chamber_null,passed_second_chamber_true,passed_second_chamber_false,passed_second_chamber_null,seriously_considered_true,seriously_considered_false,seriously_considered_null,abortion_true,abortion_false,abortion_null,contraception_true,contraception_false,contraception_null,minors_true,minors_false,minors_null,sex_education_true,sex_education_false,sex_education_null,insurance_true,insurance_false,insurance_null,pregnancy_true,pregnancy_false,pregnancy_null,emergency_contraception_true,emergency_contraception_false,emergency_contraception_null,appropriations_true,appropriations_false,appropriations_null,positive_true,positive_false,positive_null,neutral_true,neutral_false,neutral_null,restrictive_true,restrictive_false,restrictive_null,period_products_true,period_products_false,period_products_null,incarceration_true,incarceration_false,incarceration_null
2002,177,0,177,0,54,123,0,5,172,0,0,177,0,0,177,0,40,137,0,4,173,0,0,177,0,52,125,0,91,86,0,27,150,0,0,177,0,32,145,0,0,177,0,0,177,0,0,177,0,0,177,0,0,177,0,0,177,0,0,177,0,0,177,0
2003,110,0,110,0,59,51,0,5,105,0,0,110,0,0,110,0,18,92,0,1,109,0,0,110,0,27,83,0,35,75,0,14,96,0,0,110,0,15,95,0,0,110,0,0,110,0,6,104,0,0,110,0,0,110,0,0,110,0,0,110,0,0,110,0
2004,107,0,107,0,30,77,0,7,100,0,0,107,0,0,107,0,33,74,0,7,100,0,0,107,0,31,76,0,21,86,0,17,90,0,0,107,0,7,100,0,0,107,0,0,107,0,4,103,0,0,107,0,0,107,0,0,107,0,0,107,0,0,107,0
2005,182,0,182,0,78,104,0,10,172,0,0,182,0,0,182,0,64,118,0,10,172,0,0,182,0,51,131,0,10,172,0,30,152,0,0,182,0,12,170,0,0,182,0,0,182,0,10,172,0,0,182,0,0,182,0,0,182,0,0,182,0,0,182,0
2006,1099,1096,3,0,101,998,0,16,1083,0,706,393,0,246,853,0,108,991,0,10,1089,0,126,973,0,353,746,0,0,1099,0,186,913,0,121,978,0,54,1045,0,0,1099,0,60,1039,0,65,1034,0,235,864,0,309,790,0,0,1099,0,0,1099,0,0,1099,0
2007,1127,1121,6,0,171,956,0,11,1116,0,748,379,0,212,915,0,92,1035,0,9,1118,0,113,1014,0,345,782,0,0,1127,0,199,928,0,88,1039,0,91,1036,0,0,1127,0,48,1079,0,55,1072,0,359,768,0,385,742,0,0,1127,0,0,1127,0,0,1127,0
2008,1010,1008,2,0,89,921,0,10,1000,0,757,253,0,149,861,0,91,919,0,11,999,0,110,900,0,343,667,0,0,1010,0,156,854,0,85,925,0,89,921,0,0,1010,0,40,970,0,68,942,0,312,698,0,302,708,0,0,1010,0,0,1010,0,0,1010,0
2009,883,882,1,0,123,760,0,12,871,0,554,329,0,203,680,0,54,829,0,9,874,0,130,753,0,305,578,0,82,801,0,127,756,0,120,763,0,83,800,0,0,883,0,43,840,0,61,822,0,257,626,0,350,533,0,319,564,0,0,883,0,0,883,0
2010,875,874,1,0,109,766,0,9,866,0,505,370,0,257,618,0,36,839,0,2,873,0,79,796,0,330,545,0,80,795,0,92,783,0,132,743,0,99,776,0,28,847,0,31,844,0,83,792,0,264,611,0,276,599,0,364,511,0,0,875,0,0,875,0
2011,963,961,2,0,143,820,0,11,952,0,566,397,0,228,735,0,72,891,0,5,958,0,121,842,0,470,493,0,149,814,0,74,889,0,113,850,0,117,846,0,59,904,0,18,945,0,44,919,0,268,695,0,198,765,0,507,456,0,0,963,0,0,963,0
2012,866,854,12,0,101,765,0,9,857,0,558,308,0,162,704,0,63,803,0,6,860,0,67,799,0,403,463,0,141,725,0,59,807,0,115,751,0,98,768,0,62,804,0,17,849,0,41,825,0,233,633,0,231,635,0,430,436,0,0,866,0,0,866,0
2013,801,796,5,0,107,694,0,8,793,0,514,287,0,164,637,0,52,749,0,3,798,0,89,712,0,380,421,0,122,679,0,69,732,0,108,693,0,73,728,0,62,739,0,25,776,0,28,773,0,223,578,0,238,563,0,361,440,0,0,801,0,0,801,0
2016,1039,1026,13,0,129,910,0,9,1030,0,698,341,0,189,850,0,49,990,0,3,1036,0,95,944,0,437,602,0,214,825,0,179,860,0,78,961,0,125,914,0,109,930,0,16,1023,0,47,992,0,440,599,0,133,906,0,482,557,0,0,1039,0,0,1039,0
2017,1152,1098,54,0,166,986,0,15,1137,0,611,541,0,292,860,0,71,1081,0,2,1150,0,128,1024,0,506,646,0,277,875,0,190,962,0,101,1051,0,165,987,0,162,990,0,23,1129,0,65,1087,0,578,574,0,111,1041,0,481,671,0,0,1152,0,0,1152,0
2018,1185,1159,26,0,164,1021,0,13,1172,0,680,505,0,299,886,0,42,1143,0,1,1184,0,145,1040,0,419,766,0,118,1067,0,185,1000,0,118,1067,0,178,1007,0,242,943,0,30,1155,0,74,1111,0,723,462,0,70,1115,0,390,795,0,0,1185,0,0,1185,0
2019,1117,925,192,0,7,1110,0,1,1116,0,68,1049,0,822,295,0,64,1053,0,13,1104,0,0,1117,0,325,792,0,100,1017,0,166,951,0,75,1042,0,140,977,0,203,914,0,23,1094,0,34,1083,0,607,510,0,53,1064,0,286,831,0,3,1114,0,29,1088,0
2020,471,426,45,0,4,467,0,0,471,0,31,440,0,384,87,0,15,456,0,0,471,0,0,471,0,222,249,0,40,431,0,53,418,0,28,443,0,30,441,0,117,354,0,8,463,0,11,460,0,249,222,0,15,456,0,183,288,0,1,470,0,12,459,0
2021,1311,1301,10,0,217,1094,0,14,1297,0,789,522,0,272,1039,0,68,1243,0,4,1307,0,0,1311,0,523,788,0,112,1199,0,266,1045,0,67,1244,0,118,1193,0,321,990,0,20,1291,0,68,1243,0,641,670,0,41,1270,0,645,666,0,1,1310,0,32,1279,0
2022,1848,1845,3,0,245,1603,0,15,1833,0,1134,714,0,439,1409,0,88,1760,0,11,1837,0,0,1848,0,700,1148,0,139,1709,0,239,1609,0,83,1765,0,146,1702,0,418,1430,0,18,1830,0,81,1767,0,1142,706,0,95,1753,0,637,1211,0,58,1790,0,51,1797,0
