Reg-ID,State,Number,Year,Title,Description,Regulation Type,Current Status,History,StateNet History,Last Action Date,Introduction Date,Comment Period End,Adopted Date,Emergency Adopted Date,Effective Date,Expiration Date,Intent (access),Specific Policies Record Link,Categories (from Specific Policies Record Link),Subcategories (from Specific Policies Record Link),Headers (from Specific Policies Record Link),Specific Policies (from Specific Policies Record Link),Positive/Neutral/Restrictive (from Specific Policies Record Link),Category Intent (from Specific Policies Record Link),Specific Policies (access),Policy Categories (Access),Issuing Agency Link,Agency Type (from Issuing Agency Link),Priority Level (from Issuing Agency Link),Parent Agency (from Issuing Agency Link),State Reg ID,Citation,Contact,StateNet Link,Related Bills,Supersedes,Superseded By,Legal Status,Review Status,Website Blurb,Internal Notes,StateNet Regulations Import,Import Date,Last Updated,Last Updated By,Newly Tracked,Change in Status,Last Status Date Text
AR-REG-10916-2024,AR,10916,2024,Safety and Risk Management and Technical Revisions,"Reflects current practice in the Department of Human Services (DHS) Division of Children and Family Services (DCFS) Policy manual as it relates to safety and risk management. This rule also reflects language changes as a result of Act 364 of 2023 (such as replacing the term ""protection plan"" with ""immediate safety plan""). Technical changes include those made in preparation for the Division's launch of the ARFocus case management system, operational changes within the Division, and general formatting updates.",Standard Rulemaking,Adopted,,"06/20/2025 - Rule Adoption - Secretary of State, Administrative Rules Online 07/09/2025",2025-06-20,2024-11-14,,2025-06-20,,2025-07-01,,,,,,,,,,STIs,Minors,Department of Human Services/Division of Children and Family Services,,,,016.15.24-003,016.15.24,"Mac Golden, Department of Human Services, Division of Children and Family Services, 501-320-6383, Mac.E.Golden@dhs.arkansas.gov",http://custom.statenet.com/public/resources.cgi?id=ID:reg:AR202410916&cuiq=4aa65820-f27e-5f2a-8693-0b980d13c610&client_md=1d5569b6-2229-5514-a54d-7f5dde5c9a90,,,,In Effect,Needs Review,,,,,,,,checked,"06/20/2025 - Rule Adoption - Secretary of State, Administrative Rules Online 07/09/2025"
AR-REG-10958-2025,AR,10958,2025,Pregnant Presumptive Eligibility,"Creates Section B-280 in the MSP Manual. B-280 describes the PE-PW program, eligibility determination and length of coverage, and the process for applying for ongoing coverage. The MSP Glossary is updated to further define Qualified Entities, which are designated agencies that determine presumptive eligibility.",Standard Rulemaking,Adopted,,"06/20/2025 - Rule Adoption - Secretary of State, Administrative Rules Online 07/09/2025",2025-06-20,2025-04-04,,2025-06-20,,2025-07-01,,,,,,,,,,Misc,Pregnancy,Department of Human Services/Division of County Operations,,,,016.28.25-001,016.28.25,"Mac Golden, Department of Human Services, County Operations and Medical Services, 501-320-6383, Mac.E.Golden@dhs.arkansas.gov",http://custom.statenet.com/public/resources.cgi?id=ID:reg:AR202510958&cuiq=4aa65820-f27e-5f2a-8693-0b980d13c610&client_md=1d5569b6-2229-5514-a54d-7f5dde5c9a90,,,,In Effect,Needs Review,,,,,,,checked,checked,"06/20/2025 - Rule Adoption - Secretary of State, Administrative Rules Online 07/09/2025"
CA-REG-28705-2024,CA,28705,2024,Scope of Fertility Preservation Services,"Adds rule to establish the scope of services benefits health plans, providers, and enrollees by clarifying existing law that protects enrollee rights to fertility preservation and ensures all parties understand their rights and obligations.",Standard Rulemaking,Adopted,,05/14/2025 - Rule Adoption - Office of Administrative Law 05/14/2025,2025-05-14,2024-03-08,,2025-04-18,,2025-07-01,,,,,,,,,,Infertility,Insurance,Department of Managed Health Care,,,,,Title 28 CCR Section 1300.74.551,"Kim Bollenbach, 980 9th Street, Suite 500, Sacramento, CA 95814, (916) 414–0790, kim.bollenbach@dmhc.ca.gov",http://custom.statenet.com/public/resources.cgi?id=ID:reg:CA202428705&cuiq=4aa65820-f27e-5f2a-8693-0b980d13c610&client_md=1d5569b6-2229-5514-a54d-7f5dde5c9a90,,,,In Effect,Needs Review,,,,,,,,checked,05/14/2025 - Rule Adoption - Office of Administrative Law 05/14/2025
CA-REG-28800-2024,CA,28800,2024,Reproductive Health of Foster Youth,Amends rules to update foster youth requirements.,Standard Rulemaking,Adopted,,07/02/2025 - Rule Adoption - Office of Administrative Law 07/02/2025,2025-07-02,2024-05-03,,2025-06-13,,2025-10-01,,,,,,,,,,Misc,Minors,Health and Human Services Agency/Department of Social Services,,,,,"Title MPP/22 CCR Sections 31-206, 31-320","Tyler Penn, 744 P Street, MS 8-4-192, Sacramento, CA 95814, (916) 657-2586, ord@dss.ca.gov",http://custom.statenet.com/public/resources.cgi?id=ID:reg:CA202428800&cuiq=4aa65820-f27e-5f2a-8693-0b980d13c610&client_md=1d5569b6-2229-5514-a54d-7f5dde5c9a90,,,,In Effect,Needs Review,,,,,,,,checked,07/02/2025 - Rule Adoption - Office of Administrative Law 07/02/2025
CO-REG-18663-2024,CO,18663,2024,Medical Assistance - Statements of Basis and Purpose an,Revision of Medical Assistance Rule concerning changes to expand the exception criteria for Citizenship for New Population of Section Definition.,Standard Rulemaking,Adopted,,11/08/2024 - Rule Adoption - Code of Colorado Regulations eDocket 11/08/2024; 11/08/2024 - Effective Date Established - Code of Colorado Regulations eDocket 11/26/2024,2024-11-08,2024-09-30,,2024-11-08,,2024-12-30,,,,,,,,,,Misc,Pregnancy,Department of Health Care Policy and Financing/Medical Services Board,,,,,10 CCR 2505-10,"Chris Sykes, Medical Services Board Administrator, 303-866-4416, chris.sykes@state.co.us",http://custom.statenet.com/public/resources.cgi?id=ID:reg:CO202418663&cuiq=4aa65820-f27e-5f2a-8693-0b980d13c610&client_md=1d5569b6-2229-5514-a54d-7f5dde5c9a90,,,,In Effect,Needs Review,,,,,,,checked,,11/08/2024 - Rule Adoption - Code of Colorado Regulations eDocket 11/08/2024; 11/08/2024 - Effective Date Established - Code of Colorado Regulations eDocket 11/26/2024
CO-REG-18694-2024,CO,18694,2024,"Life, Accident and Health, Series 4-2 Accident and Heal","This rule is to establish the requirements, processes, and forms to be utilized by carriers.",Standard Rulemaking,Adopted,,12/11/2024 - Rule Adoption - Code of Colorado Regulations eDocket 12/12/2024; 12/11/2024 - Effective Date Established - Code of Colorado Regulations eDocket 01/03/2025,2024-12-11,2024-10-15,,2024-12-11,,2025-01-30,,,,,,,,,,Misc,Pregnancy,Department of Regulatory Agencies/Division of Insurance,,,,,3 CCR 702-4 Series 4-2,"Jill Mullen, Policy Advisor, 720-556-4952, jill.mullen@state.co.us",http://custom.statenet.com/public/resources.cgi?id=ID:reg:CO202418694&cuiq=4aa65820-f27e-5f2a-8693-0b980d13c610&client_md=1d5569b6-2229-5514-a54d-7f5dde5c9a90,,,,In Effect,Needs Review,,,,,,,,checked,12/11/2024 - Rule Adoption - Code of Colorado Regulations eDocket 12/12/2024; 12/11/2024 - Effective Date Established - Code of Colorado Regulations eDocket 01/03/2025
CO-REG-18703-2024,CO,18703,2024,Child Care Facility Licensing,Pertains to adjustments in current practice for licensed providers in the state of Colorado.,Standard Rulemaking,Adopted,,05/09/2025 - Rule Adoption - Code of Colorado Regulations eDocket 05/12/2025; 05/09/2025 - Effective Date Established - Code of Colorado Regulations eDocket 06/02/2025,2025-05-09,2024-10-30,,2025-05-09,,2025-07-01,,,,,,,,,,SexEducation,Minors,Department of Human Services/Social Services,,,,,12 CCR 2509-8,"Logan Ellett, Provider Development Manager, 720-245-1195, logan.ellett@state.co.us",http://custom.statenet.com/public/resources.cgi?id=ID:reg:CO202418703&cuiq=4aa65820-f27e-5f2a-8693-0b980d13c610&client_md=1d5569b6-2229-5514-a54d-7f5dde5c9a90,,,,In Effect,Needs Review,,,,,,,,checked,05/09/2025 - Rule Adoption - Code of Colorado Regulations eDocket 05/12/2025; 05/09/2025 - Effective Date Established - Code of Colorado Regulations eDocket 06/02/2025
CO-REG-18734-2024,CO,18734,2024,Medical Assistance Statement of Basis and Purpose,"Revises the medical assistance rule concerning enforcement remedies, the hospital discounted care rule concerning hospital discounted care updates, and the healthcare affordability and sustainability provider fees and supplemental payments; updates continuous eligibility for medical assistance programs.",Standard Rulemaking,Adopted,,01/10/2025 - Rule Adoption - Code of Colorado Regulations eDocket 01/22/2025; 01/10/2025 - Effective Date Established - Code of Colorado Regulations eDocket 01/28/2025,2025-01-10,2024-11-27,,2025-01-10,,2035-03-02,,,,,,,,,,Misc,Family Planning,Department of Health Care Policy and Financing/Medical Services Board,,,,,10 CCR 2505-10,"Chris Sykes, Medical Services Board Administrator, 303-866-4416, chris.sykes@state.co.us",http://custom.statenet.com/public/resources.cgi?id=ID:reg:CO202418734&cuiq=4aa65820-f27e-5f2a-8693-0b980d13c610&client_md=1d5569b6-2229-5514-a54d-7f5dde5c9a90,,,,In Effect,Needs Review,,,,,,,,checked,01/10/2025 - Rule Adoption - Code of Colorado Regulations eDocket 01/22/2025; 01/10/2025 - Effective Date Established - Code of Colorado Regulations eDocket 01/28/2025
CO-REG-18916-2025,CO,18916,2025,Chapter 4 General Hospitals,"Requires health facilities that ""provide services related to labor and childbirth"" to have policies that promote newborn bonding, allows the presence of a companion or doula in addition to a partner or spouse, details facility processes for patient transfer and information sharing, and requires informed consent for the interruption of physiologic birth and provision of care.",Standard Rulemaking,Adopted,,06/18/2025 - Rule Adoption - Code of Colorado Regulations eDocket 06/23/2025; 06/18/2025 - Effective Date Established - Code of Colorado Regulations eDocket 07/10/2025,2025-06-18,2025-04-24,,2025-06-18,,2025-08-14,,,,,,,,,,Misc,Pregnancy,Department of Public Health and Environment/Health Facilities and Emergency Medical Services Division,,,,,6 CCR 1011-1 Chapter 04,"Alexandra Haas, Policy Supervisor, Health Facilities and Medical Services Division, 303-691-4934, alexandra.haas@state.co.us",http://custom.statenet.com/public/resources.cgi?id=ID:reg:CO202518916&cuiq=4aa65820-f27e-5f2a-8693-0b980d13c610&client_md=1d5569b6-2229-5514-a54d-7f5dde5c9a90,,,,In Effect,Needs Review,,,,,,,checked,checked,06/18/2025 - Rule Adoption - Code of Colorado Regulations eDocket 06/23/2025; 06/18/2025 - Effective Date Established - Code of Colorado Regulations eDocket 07/10/2025
CO-REG-18917-2025,CO,18917,2025,Chapter 9 Community Clinics,Implements rules concerning the protection of a pregnant person's rights during the perinatal period.,Standard Rulemaking,Adopted,,06/18/2025 - Rule Adoption - Code of Colorado Regulations eDocket 06/23/2025; 06/18/2025 - Effective Date Established - Code of Colorado Regulations eDocket 07/10/2025,2025-06-18,2025-04-24,,2025-06-18,,2025-08-14,,,,,,,,,,Misc,Pregnancy,Department of Public Health and Environment/Health Facilities and Emergency Medical Services Division,,,,,6 CCR 1011-1 Chapter 09,"Alexandra Haas, Policy Supervisor, Health Facilities and Medical Services Division, 303-691-4934, alexandra.haas@state.co.us",http://custom.statenet.com/public/resources.cgi?id=ID:reg:CO202518917&cuiq=4aa65820-f27e-5f2a-8693-0b980d13c610&client_md=1d5569b6-2229-5514-a54d-7f5dde5c9a90,,,,In Effect,Needs Review,,,,,,,checked,checked,06/18/2025 - Rule Adoption - Code of Colorado Regulations eDocket 06/23/2025; 06/18/2025 - Effective Date Established - Code of Colorado Regulations eDocket 07/10/2025
